For this combination [['tanh', 5], ['tanh', 5], ['tanh', 5], 'tanh'], R is 0.65
The best_R for now is 0.6457 and combination is [['tanh', 5], ['tanh', 5], ['tanh', 5], 'tanh'] For this combination [['tanh', 5], ['tanh', 5], ['tanh', 5], 'linear'], R is 0.91
The best_R for now is 0.9254 and combination is [['tanh', 18], ['tanh', 5], ['tanh', 18], 'linear'] For this combination [['linear', 18], ['tanh', 5], ['tanh', 18], 'linear'], R is 0.88
The best_R for now is 0.9254 and combination is [['tanh', 18], ['tanh', 5], ['tanh', 18], 'linear'] For this combination [['tanh', 5], ['tanh', 5], ['linear', 5], 'tanh'], R is 0.63
The best_R for now is 0.9254 and combination is [['tanh', 18], ['tanh', 5], ['tanh', 18], 'linear'] For this combination [['tanh', 5], ['tanh', 5], ['linear', 5], 'linear'], R is 0.89
The best_R for now is 0.9254 and combination is [['tanh', 18], ['tanh', 5], ['tanh', 18], 'linear'] For this combination [['tanh', 10], ['tanh', 5], ['linear', 5], 'tanh'], R is 0.70
The best_R for now is 0.9254 and combination is [['tanh', 18], ['tanh', 5], ['tanh', 18], 'linear'] For this combination [['tanh', 10], ['tanh', 5], ['linear', 5], 'linear'], R is 0.93
The best_R for now is 0.9265 and combination is [['tanh', 10], ['tanh', 5], ['linear', 5], 'linear'] For this combination [['tanh', 18], ['tanh', 5], ['linear', 5], 'tanh'], R is 0.69
The best_R for now is 0.9265 and combination is [['tanh', 10], ['tanh', 5], ['linear', 5], 'linear'] For this combination [['tanh', 18], ['tanh', 5], ['linear', 5], 'linear'], R is 0.92
The best_R for now is 0.9265 and combination is [['tanh', 10], ['tanh', 5], ['linear', 5], 'linear'] For this combination [['linear', 5], ['tanh', 5], ['linear', 5], 'tanh'], R is 0.62
The best_R for now is 0.9265 and combination is [['tanh', 10], ['tanh', 5], ['linear', 5], 'linear'] For this combination [['linear', 5], ['tanh', 5], ['linear', 5], 'linear'], R is 0.86
The best_R for now is 0.9265 and combination is [['tanh', 10], ['tanh', 5], ['linear', 5], 'linear'] For this combination [['linear', 10], ['tanh', 5], ['linear', 5], 'tanh'], R is 0.67
The best_R for now is 0.9265 and combination is [['tanh', 10], ['tanh', 5], ['linear', 5], 'linear'] For this combination [['linear', 10], ['tanh', 5], ['linear', 5], 'linear'], R is 0.88
The best_R for now is 0.9265 and combination is [['tanh', 10], ['tanh', 5], ['linear', 5], 'linear'] For this combination [['linear', 18], ['tanh', 5], ['linear', 5], 'tanh'], R is 0.64
The best_R for now is 0.9265 and combination is [['tanh', 10], ['tanh', 5], ['linear', 5], 'linear'] For this combination [['linear', 18], ['tanh', 5], ['linear', 5], 'linear'], R is 0.87
The best_R for now is 0.9265 and combination is [['tanh', 10], ['tanh', 5], ['linear', 5], 'linear'] For this combination [['tanh', 5], ['tanh', 5], ['linear', 10], 'tanh'], R is 0.68
The best_R for now is 0.9265 and combination is [['tanh', 10], ['tanh', 5], ['linear', 5], 'linear'] For this combination [['tanh', 5], ['tanh', 5], ['linear', 10], 'linear'], R is 0.91
The best_R for now is 0.9265 and combination is [['tanh', 10], ['tanh', 5], ['linear', 5], 'linear'] For this combination [['tanh', 10], ['tanh', 5], ['linear', 10], 'tanh'], R is 0.70
The best_R for now is 0.9265 and combination is [['tanh', 10], ['tanh', 5], ['linear', 5], 'linear'] For this combination [['tanh', 10], ['tanh', 5], ['linear', 10], 'linear'], R is 0.93
The best_R for now is 0.9341 and combination is [['tanh', 10], ['tanh', 5], ['linear', 10], 'linear'] For this combination [['tanh', 18], ['tanh', 5], ['linear', 10], 'tanh'], R is 0.69
The best_R for now is 0.9341 and combination is [['tanh', 10], ['tanh', 5], ['linear', 10], 'linear'] For this combination [['tanh', 18], ['tanh', 5], ['linear', 10], 'linear'], R is 0.93
The best_R for now is 0.9344 and combination is [['tanh', 18], ['tanh', 5], ['linear', 10], 'linear'] For this combination [['linear', 5], ['tanh', 5], ['linear', 10], 'tanh'], R is 0.60
The best_R for now is 0.9344 and combination is [['tanh', 18], ['tanh', 5], ['linear', 10], 'linear'] For this combination [['linear', 5], ['tanh', 5], ['linear', 10], 'linear'], R is 0.83
The best_R for now is 0.9344 and combination is [['tanh', 18], ['tanh', 5], ['linear', 10], 'linear'] For this combination [['linear', 10], ['tanh', 5], ['linear', 10], 'tanh'], R is 0.61
The best_R for now is 0.9344 and combination is [['tanh', 18], ['tanh', 5], ['linear', 10], 'linear'] For this combination [['linear', 10], ['tanh', 5], ['linear', 10], 'linear'], R is 0.84
The best_R for now is 0.9344 and combination is [['tanh', 18], ['tanh', 5], ['linear', 10], 'linear'] For this combination [['linear', 18], ['tanh', 5], ['linear', 10], 'tanh'], R is 0.63
The best_R for now is 0.9344 and combination is [['tanh', 18], ['tanh', 5], ['linear', 10], 'linear'] For this combination [['linear', 18], ['tanh', 5], ['linear', 10], 'linear'], R is 0.90
The best_R for now is 0.9344 and combination is [['tanh', 18], ['tanh', 5], ['linear', 10], 'linear'] For this combination [['tanh', 5], ['tanh', 5], ['linear', 18], 'tanh'], R is 0.62
The best_R for now is 0.9344 and combination is [['tanh', 18], ['tanh', 5], ['linear', 10], 'linear'] For this combination [['tanh', 5], ['tanh', 5], ['linear', 18], 'linear'], R is 0.88
The best_R for now is 0.9344 and combination is [['tanh', 18], ['tanh', 5], ['linear', 10], 'linear'] For this combination [['tanh', 10], ['tanh', 5], ['linear', 18], 'tanh'], R is 0.64
The best_R for now is 0.9344 and combination is [['tanh', 18], ['tanh', 5], ['linear', 10], 'linear'] For this combination [['tanh', 10], ['tanh', 5], ['linear', 18], 'linear'], R is 0.92
The best_R for now is 0.9344 and combination is [['tanh', 18], ['tanh', 5], ['linear', 10], 'linear'] For this combination [['tanh', 18], ['tanh', 5], ['linear', 18], 'tanh'], R is 0.66
The best_R for now is 0.9344 and combination is [['tanh', 18], ['tanh', 5], ['linear', 10], 'linear'] For this combination [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'], R is 0.94
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['linear', 5], ['tanh', 5], ['linear', 18], 'tanh'], R is 0.64
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['linear', 5], ['tanh', 5], ['linear', 18], 'linear'], R is 0.88
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['linear', 10], ['tanh', 5], ['linear', 18], 'tanh'], R is 0.61
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['linear', 10], ['tanh', 5], ['linear', 18], 'linear'], R is 0.91
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['linear', 18], ['tanh', 5], ['linear', 18], 'tanh'], R is 0.63
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['linear', 18], ['tanh', 5], ['linear', 18], 'linear'], R is 0.85
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['tanh', 5], ['tanh', 10], ['tanh', 5], 'tanh'], R is 0.64
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['tanh', 5], ['tanh', 10], ['tanh', 5], 'linear'], R is 0.92
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['tanh', 10], ['tanh', 10], ['tanh', 5], 'tanh'], R is 0.65
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['tanh', 10], ['tanh', 10], ['tanh', 5], 'linear'], R is 0.90
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['tanh', 18], ['tanh', 10], ['tanh', 5], 'tanh'], R is 0.71
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['tanh', 18], ['tanh', 10], ['tanh', 5], 'linear'], R is 0.91
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['linear', 5], ['tanh', 10], ['tanh', 5], 'tanh'], R is 0.68
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['linear', 5], ['tanh', 10], ['tanh', 5], 'linear'], R is 0.90
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['linear', 10], ['tanh', 10], ['tanh', 5], 'tanh'], R is 0.69
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['linear', 10], ['tanh', 10], ['tanh', 5], 'linear'], R is 0.91
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['linear', 18], ['tanh', 10], ['tanh', 5], 'tanh'], R is 0.70
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['linear', 18], ['tanh', 10], ['tanh', 5], 'linear'], R is 0.91
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['tanh', 5], ['tanh', 10], ['tanh', 10], 'tanh'], R is 0.64
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['tanh', 5], ['tanh', 10], ['tanh', 10], 'linear'], R is 0.93
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['tanh', 10], ['tanh', 10], ['tanh', 10], 'tanh'], R is 0.70
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['tanh', 10], ['tanh', 10], ['tanh', 10], 'linear'], R is 0.92
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['tanh', 18], ['tanh', 10], ['tanh', 10], 'tanh'], R is 0.71
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['tanh', 18], ['tanh', 10], ['tanh', 10], 'linear'], R is 0.92
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['linear', 5], ['tanh', 10], ['tanh', 10], 'tanh'], R is 0.67
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['linear', 5], ['tanh', 10], ['tanh', 10], 'linear'], R is 0.90
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['linear', 10], ['tanh', 10], ['tanh', 10], 'tanh'], R is 0.59
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['linear', 10], ['tanh', 10], ['tanh', 10], 'linear'], R is 0.91
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['linear', 18], ['tanh', 10], ['tanh', 10], 'tanh'], R is 0.68
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['linear', 18], ['tanh', 10], ['tanh', 10], 'linear'], R is 0.90
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['tanh', 5], ['tanh', 10], ['tanh', 18], 'tanh'], R is 0.64
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['tanh', 5], ['tanh', 10], ['tanh', 18], 'linear'], R is 0.92
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['tanh', 10], ['tanh', 10], ['tanh', 18], 'tanh'], R is 0.71
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['tanh', 10], ['tanh', 10], ['tanh', 18], 'linear'], R is 0.89
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['tanh', 18], ['tanh', 10], ['tanh', 18], 'tanh'], R is 0.72
The best_R for now is 0.9364 and combination is [['tanh', 18], ['tanh', 5], ['linear', 18], 'linear'] For this combination [['tanh', 18], ['tanh', 10], ['tanh', 18], 'linear'], R is 0.94
The best_R for now is 0.9447 and combination is [['tanh', 18], ['tanh', 10], ['tanh', 18], 'linear'] For this combination [['linear', 5], ['tanh', 10], ['tanh', 18], 'tanh'], R is 0.69
The best_R for now is 0.9447 and combination is [['tanh', 18], ['tanh', 10], ['tanh', 18], 'linear'] For this combination [['linear', 5], ['tanh', 10], ['tanh', 18], 'linear'], R is 0.89
The best_R for now is 0.9447 and combination is [['tanh', 18], ['tanh', 10], ['tanh', 18], 'linear'] For this combination [['linear', 10], ['tanh', 10], ['tanh', 18], 'tanh'], R is 0.68
The best_R for now is 0.9447 and combination is [['tanh', 18], ['tanh', 10], ['tanh', 18], 'linear'] For this combination [['linear', 10], ['tanh', 10], ['tanh', 18], 'linear'], R is 0.88
The best_R for now is 0.9447 and combination is [['tanh', 18], ['tanh', 10], ['tanh', 18], 'linear'] For this combination [['linear', 18], ['tanh', 10], ['tanh', 18], 'tanh'], R is 0.68
The best_R for now is 0.9447 and combination is [['tanh', 18], ['tanh', 10], ['tanh', 18], 'linear'] For this combination [['linear', 18], ['tanh', 10], ['tanh', 18], 'linear'], R is 0.91
The best_R for now is 0.9447 and combination is [['tanh', 18], ['tanh', 10], ['tanh', 18], 'linear'] For this combination [['tanh', 5], ['tanh', 10], ['linear', 5], 'tanh'], R is 0.68
The best_R for now is 0.9447 and combination is [['tanh', 18], ['tanh', 10], ['tanh', 18], 'linear'] For this combination [['tanh', 5], ['tanh', 10], ['linear', 5], 'linear'], R is 0.90
The best_R for now is 0.9447 and combination is [['tanh', 18], ['tanh', 10], ['tanh', 18], 'linear'] For this combination [['tanh', 10], ['tanh', 10], ['linear', 5], 'tanh'], R is 0.68
The best_R for now is 0.9447 and combination is [['tanh', 18], ['tanh', 10], ['tanh', 18], 'linear'] For this combination [['tanh', 10], ['tanh', 10], ['linear', 5], 'linear'], R is 0.94
The best_R for now is 0.9447 and combination is [['tanh', 18], ['tanh', 10], ['tanh', 18], 'linear'] For this combination [['tanh', 18], ['tanh', 10], ['linear', 5], 'tanh'], R is 0.70
The best_R for now is 0.9447 and combination is [['tanh', 18], ['tanh', 10], ['tanh', 18], 'linear'] For this combination [['tanh', 18], ['tanh', 10], ['linear', 5], 'linear'], R is 0.93
The best_R for now is 0.9447 and combination is [['tanh', 18], ['tanh', 10], ['tanh', 18], 'linear'] For this combination [['linear', 5], ['tanh', 10], ['linear', 5], 'tanh'], R is 0.66
The best_R for now is 0.9447 and combination is [['tanh', 18], ['tanh', 10], ['tanh', 18], 'linear'] For this combination [['linear', 5], ['tanh', 10], ['linear', 5], 'linear'], R is 0.90
The best_R for now is 0.9447 and combination is [['tanh', 18], ['tanh', 10], ['tanh', 18], 'linear'] For this combination [['linear', 10], ['tanh', 10], ['linear', 5], 'tanh'], R is 0.62
The best_R for now is 0.9447 and combination is [['tanh', 18], ['tanh', 10], ['tanh', 18], 'linear'] For this combination [['linear', 10], ['tanh', 10], ['linear', 5], 'linear'], R is 0.90
The best_R for now is 0.9447 and combination is [['tanh', 18], ['tanh', 10], ['tanh', 18], 'linear'] For this combination [['linear', 18], ['tanh', 10], ['linear', 5], 'tanh'], R is 0.68
The best_R for now is 0.9447 and combination is [['tanh', 18], ['tanh', 10], ['tanh', 18], 'linear'] For this combination [['linear', 18], ['tanh', 10], ['linear', 5], 'linear'], R is 0.90
The best_R for now is 0.9447 and combination is [['tanh', 18], ['tanh', 10], ['tanh', 18], 'linear'] For this combination [['tanh', 5], ['tanh', 10], ['linear', 10], 'tanh'], R is 0.68
The best_R for now is 0.9447 and combination is [['tanh', 18], ['tanh', 10], ['tanh', 18], 'linear'] For this combination [['tanh', 5], ['tanh', 10], ['linear', 10], 'linear'], R is 0.92
The best_R for now is 0.9447 and combination is [['tanh', 18], ['tanh', 10], ['tanh', 18], 'linear'] For this combination [['tanh', 10], ['tanh', 10], ['linear', 10], 'tanh'], R is 0.68
The best_R for now is 0.9447 and combination is [['tanh', 18], ['tanh', 10], ['tanh', 18], 'linear'] For this combination [['tanh', 10], ['tanh', 10], ['linear', 10], 'linear'], R is 0.89
The best_R for now is 0.9447 and combination is [['tanh', 18], ['tanh', 10], ['tanh', 18], 'linear'] For this combination [['tanh', 18], ['tanh', 10], ['linear', 10], 'tanh'], R is 0.71
The best_R for now is 0.9447 and combination is [['tanh', 18], ['tanh', 10], ['tanh', 18], 'linear'] For this combination [['tanh', 18], ['tanh', 10], ['linear', 10], 'linear'], R is 0.95
The best_R for now is 0.9536 and combination is [['tanh', 18], ['tanh', 10], ['linear', 10], 'linear'] For this combination [['linear', 5], ['tanh', 10], ['linear', 10], 'tanh'], R is 0.64
The best_R for now is 0.9536 and combination is [['tanh', 18], ['tanh', 10], ['linear', 10], 'linear'] For this combination [['linear', 5], ['tanh', 10], ['linear', 10], 'linear'], R is 0.87
The best_R for now is 0.9536 and combination is [['tanh', 18], ['tanh', 10], ['linear', 10], 'linear'] For this combination [['linear', 10], ['tanh', 10], ['linear', 10], 'tanh'], R is 0.64
The best_R for now is 0.9536 and combination is [['tanh', 18], ['tanh', 10], ['linear', 10], 'linear'] For this combination [['linear', 10], ['tanh', 10], ['linear', 10], 'linear'], R is 0.90
The best_R for now is 0.9536 and combination is [['tanh', 18], ['tanh', 10], ['linear', 10], 'linear'] For this combination [['linear', 18], ['tanh', 10], ['linear', 10], 'tanh'], R is 0.63
The best_R for now is 0.9536 and combination is [['tanh', 18], ['tanh', 10], ['linear', 10], 'linear'] For this combination [['linear', 18], ['tanh', 10], ['linear', 10], 'linear'], R is 0.90
The best_R for now is 0.9536 and combination is [['tanh', 18], ['tanh', 10], ['linear', 10], 'linear'] For this combination [['tanh', 5], ['tanh', 10], ['linear', 18], 'tanh'], R is 0.63
The best_R for now is 0.9536 and combination is [['tanh', 18], ['tanh', 10], ['linear', 10], 'linear'] For this combination [['tanh', 5], ['tanh', 10], ['linear', 18], 'linear'], R is 0.93
The best_R for now is 0.9536 and combination is [['tanh', 18], ['tanh', 10], ['linear', 10], 'linear'] For this combination [['tanh', 10], ['tanh', 10], ['linear', 18], 'tanh'], R is 0.70
The best_R for now is 0.9536 and combination is [['tanh', 18], ['tanh', 10], ['linear', 10], 'linear'] For this combination [['tanh', 10], ['tanh', 10], ['linear', 18], 'linear'], R is 0.91
The best_R for now is 0.9536 and combination is [['tanh', 18], ['tanh', 10], ['linear', 10], 'linear'] For this combination [['tanh', 18], ['tanh', 10], ['linear', 18], 'tanh'], R is 0.70
The best_R for now is 0.9536 and combination is [['tanh', 18], ['tanh', 10], ['linear', 10], 'linear'] For this combination [['tanh', 18], ['tanh', 10], ['linear', 18], 'linear'], R is 0.95
The best_R for now is 0.9536 and combination is [['tanh', 18], ['tanh', 10], ['linear', 10], 'linear'] For this combination [['linear', 5], ['tanh', 10], ['linear', 18], 'tanh'], R is 0.64
The best_R for now is 0.9536 and combination is [['tanh', 18], ['tanh', 10], ['linear', 10], 'linear'] For this combination [['linear', 5], ['tanh', 10], ['linear', 18], 'linear'], R is 0.87
The best_R for now is 0.9536 and combination is [['tanh', 18], ['tanh', 10], ['linear', 10], 'linear'] For this combination [['linear', 10], ['tanh', 10], ['linear', 18], 'tanh'], R is 0.63
The best_R for now is 0.9536 and combination is [['tanh', 18], ['tanh', 10], ['linear', 10], 'linear'] For this combination [['linear', 10], ['tanh', 10], ['linear', 18], 'linear'], R is 0.85
The best_R for now is 0.9536 and combination is [['tanh', 18], ['tanh', 10], ['linear', 10], 'linear'] For this combination [['linear', 18], ['tanh', 10], ['linear', 18], 'tanh'], R is 0.68
The best_R for now is 0.9536 and combination is [['tanh', 18], ['tanh', 10], ['linear', 10], 'linear'] For this combination [['linear', 18], ['tanh', 10], ['linear', 18], 'linear'], R is 0.88
The best_R for now is 0.9536 and combination is [['tanh', 18], ['tanh', 10], ['linear', 10], 'linear'] For this combination [['tanh', 5], ['tanh', 18], ['tanh', 5], 'tanh'], R is 0.69
The best_R for now is 0.9536 and combination is [['tanh', 18], ['tanh', 10], ['linear', 10], 'linear'] For this combination [['tanh', 5], ['tanh', 18], ['tanh', 5], 'linear'], R is 0.90
The best_R for now is 0.9536 and combination is [['tanh', 18], ['tanh', 10], ['linear', 10], 'linear'] For this combination [['tanh', 10], ['tanh', 18], ['tanh', 5], 'tanh'], R is 0.70
The best_R for now is 0.9536 and combination is [['tanh', 18], ['tanh', 10], ['linear', 10], 'linear'] For this combination [['tanh', 10], ['tanh', 18], ['tanh', 5], 'linear'], R is 0.90
The best_R for now is 0.9536 and combination is [['tanh', 18], ['tanh', 10], ['linear', 10], 'linear'] For this combination [['tanh', 18], ['tanh', 18], ['tanh', 5], 'tanh'], R is 0.71
